t2_mean_log10,t2_std_log10,DEPTH(m)
1.1931630355974103,1.1876410230431065,14.8068
1.189249754059953,1.1903165357387255,14.9592
1.1840871697446262,1.1938573246120308,15.1116
1.1803790324023422,1.1964083269063466,15.264
1.1733247289398259,1.201279049022868,15.4164
1.1742769041785341,1.200620259480788,15.5688
1.178946509789377,1.1973955524264557,15.7212
1.1802579992831526,1.19649169998007,15.8736
1.1866817227225852,1.1920762587409717,16.026
1.1887287457229363,1.1906732995390743,16.1784
1.1905406965250795,1.189433110748667,16.3308
1.188948538718049,1.1905227791497097,16.4832
1.1945518346720831,1.1866932596212094,16.6356
1.1967217262346859,1.1852143051210693,16.788
1.1994789332239553,1.183338319709797,16.9404
1.202476264756562,1.1813031277497268,17.0928
1.2040535288723107,1.1802339162500224,17.2452
1.204111725175924,1.1801944887439875,17.3976
1.2050703926954014,1.1795452373715678,17.55
1.1901386367313567,1.1897081655229242,17.7024
1.1757718538470798,1.1995867834797866,17.8548
1.1670202606360411,1.2056515197781374,18.0072
1.1561899302848622,1.2132052379443674,18.1596
1.1445564300569513,1.2213777662008471,18.312
1.137620456612835,1.2262786942131776,18.4644
1.1372700398571902,1.2265268542068977,18.6168
1.1330926682211884,1.2294893068360682,18.7692
1.1316423516905705,1.2305195858595157,18.9216
1.1325085956716656,1.229904112588075,19.074
1.1289910257292162,1.232405378250327,19.2264
1.1256121670910793,1.2348129993572547,19.3788
1.138475526905561,1.225673370109937,19.5312
1.1430566470597348,1.2224357214109836,19.6836
1.1474140974277913,1.219364693193554,19.836
1.1490036948603073,1.218246468946312,19.9884
1.14096064898136,1.2239159030778395,20.1408
1.1294283359677058,1.2320941275847686,20.2932
1.1165663176100233,1.241282508078762,20.4456
1.1123345347834557,1.2443208483114556,20.598
1.1003335891005244,1.2529776465027165,20.7504
1.0942245954596685,1.2574069452476109,20.9028
1.0820811720136394,1.2662560110672676,21.0552
1.0859713970398974,1.263414757891316,21.2076
1.0863670992906709,1.26312609035075,21.36
1.0849561268372914,1.264155689156386,21.5124
1.0895000781828512,1.2608427626248062,21.6648
1.0683225597262989,1.276352374059536,21.8172
1.0615319288135265,1.2813624910459498,21.9696
1.0618733725607505,1.2811101531423188,22.122
1.057312304872181,1.2844845870801065,22.2744
1.0394529263159034,1.2977727179233216,22.4268
1.0301127030581385,1.3047690550149886,22.5792
1.032363078085784,1.3030805031407544,22.7316
1.028758707723811,1.3057858962135085,22.884
1.0280544193873045,1.3063150729719215,23.0364
1.0263097229184184,1.3076267425031864,23.1888
1.0246406615583379,1.3088825706795568,23.3412
1.0256183241383492,1.3081468408797519,23.4936
1.0213501941557512,1.31136128461908,23.646
1.0161043534020788,1.3153209340513807,23.7984
1.0137476504374536,1.3171029743179234,23.9508
1.0157581916469975,1.3155825647089692,24.1032
1.0162664071205731,1.3151984676046564,24.2556
1.0101485644864112,1.3198282100980134,24.408
1.0037893423886157,1.3246544495193584,24.5604
0.9917517036168196,1.3338283037192618,24.7128
0.9844076554020659,1.3394492908705908,24.8652
0.9776696701431723,1.3446222403219894,25.0176
0.9795303714188913,1.3431922216750198,25.17
0.9801077516716422,1.34274871596857,25.3224
0.9801787027939934,1.3426942235751942,25.4748
0.9740361315635906,1.3474180388105224,25.6272
0.9729089278983678,1.3482862375378002,25.7796
0.9715374576493847,1.3493431364182211,25.932
0.980361080157922,1.342554160445388,26.0844
0.9846969711994908,1.3392275124622963,26.2368
0.9915150036011852,1.3340091862508268,26.3892
0.9985488536561967,1.32864213117155,26.5416
1.0041701436431079,1.3243650518461973,26.694
1.0018653435304437,1.3261173956236705,26.8464
1.0010354101719734,1.326748842987668,26.9988
1.0010077239949617,1.3267699118443248,27.1512
1.007337767343408,1.3219596942017768,27.3036
1.0060859708195389,1.3229098398051684,27.456
1.0065767499987122,1.3225372611238382,27.6084
0.9944794922547955,1.331745137120664,27.7608
0.9822258749695684,1.3411226583923042,27.9132
0.9774729002319416,1.3447735321799965,28.0656
0.9725769920063101,1.348541981592374,28.218
0.9716864060556467,1.3492283222754544,28.3704
0.9713760352235639,1.3494675741032078,28.5228
0.9630223336599923,1.3559188417902013,28.6752
0.9595382230339353,1.3586161466473272,28.8276
0.9600516618704324,1.3582184117650162,28.98
0.9659258343689794,1.3536740104148932,29.1324
0.9622444141542261,1.3565207485270927,29.2848
0.9629316167202372,1.3559890230152762,29.4372
0.9693593497058043,1.351022916845378,29.5896
0.9703556387889603,1.350254376199933,29.742
0.9669457313900712,1.3528861264743517,29.8944
0.9630693010079479,1.3558825075431347,30.0468
0.9596768606417148,1.3585087428551068,30.1992
0.9583160523123312,1.359563238857253,30.3516
