DEPTH(m),RHOB(g_cm^3),DRHO,DRRT,PEF,IDRO,IDDR,IDPE,MRP_T2(%),BFV_T2(%),FFV_T2(%),T2LM_T2(ms),TNPH(%),GR(gAPI)
122.4012,1.9343,0.0817,0.0871,3.1802,1.9437,0.0705,3.0002,40.8475,40.8475,0.0,2.9231,51.3199,79.9466
122.5536,1.9259,0.0764,0.0894,3.1216,1.9396,0.0679,2.976,39.9845,39.9845,0.0,2.9525,50.4249,81.3834
122.706,1.9322,0.0784,0.0722,3.0928,1.9347,0.0679,2.9873,38.7736,38.7736,0.0,2.989,48.7337,78.8603
122.8584,1.9287,0.072,0.0674,3.08,1.9229,0.0514,3.0467,37.9535,37.9535,0.0,3.0666,51.0927,78.932
123.0108,1.9321,0.0679,0.0874,3.1877,1.9243,0.0393,3.1948,37.6085,37.6085,0.0,3.1595,50.5519,77.82
123.1632,1.9387,0.0672,0.0804,3.234,1.9373,0.0461,3.119,37.9744,37.9744,0.0,3.25,51.9724,79.2067
123.3156,1.9357,0.0614,0.0263,3.1974,1.9427,0.0699,3.45,37.9663,37.8617,0.1046,3.3604,51.344,77.9425
123.468,1.9333,0.0616,0.1065,3.2252,1.9562,0.0504,3.4548,39.818,39.2681,0.5499,3.6173,53.6748,73.7867
123.6204,1.9099,0.0494,0.1593,3.2541,1.9201,0.0163,3.4353,40.7653,40.2808,0.4845,3.5839,54.1128,70.6842
123.7728,1.8876,0.0631,0.1347,3.3703,1.8801,0.0311,3.5995,41.2295,40.9373,0.2922,3.5623,54.9456,67.5192
123.9252,1.8408,0.0765,0.0944,3.4165,1.8329,0.0552,3.5922,42.3065,41.5344,0.7721,3.7751,54.201,70.8023
124.0776,1.8197,0.0823,0.1006,3.3526,1.8214,0.0631,3.1725,42.5403,41.7977,0.7426,3.8947,55.1217,69.7269
124.23,1.8242,0.0804,0.0801,3.2899,1.8242,0.0629,3.2517,42.0007,41.4793,0.5214,3.696,56.7754,70.6927
124.3824,1.847,0.0644,0.0905,3.1377,1.8524,0.0501,3.1198,42.095,41.246,0.8489,3.8101,58.6946,70.7249
124.5348,1.8732,0.07,0.1302,3.2123,1.8886,0.0457,3.2879,42.5321,41.8861,0.646,3.5569,56.8903,75.4244
124.6872,1.8702,0.0616,0.1856,3.2989,1.8935,0.0249,3.3176,42.7871,42.2154,0.5717,3.4175,54.3461,78.3005
124.8396,1.8706,0.0588,0.1703,3.3358,1.8959,0.0273,3.2108,42.6783,42.1082,0.5701,3.3959,53.5826,80.6168
124.992,1.8586,0.0553,0.1503,3.3071,1.879,0.0251,3.1776,42.8057,42.2963,0.5095,3.2942,53.799,80.7929
125.1444,1.845,0.0501,0.1336,3.229,1.8553,0.0194,3.0186,42.0087,41.84,0.1687,3.0962,55.2681,79.8323
125.2968,1.8461,0.0527,0.1352,3.2379,1.8505,0.0197,3.0711,41.3229,41.1515,0.1714,3.0326,53.9209,78.5596
125.4492,1.8469,0.0532,0.1371,3.2721,1.8522,0.023,3.088,40.4081,40.4073,0.0009,2.8456,53.8418,75.2964
125.6016,1.8602,0.0569,0.1041,3.2381,1.8626,0.0324,3.1134,39.8927,39.8927,0.0,2.8171,52.3282,75.8098
125.754,1.8692,0.0548,0.0784,3.3196,1.865,0.0348,3.1721,39.6417,39.6417,0.0,2.7836,51.8783,77.1709
125.9064,1.8766,0.0482,0.045,3.4298,1.8845,0.0425,3.187,39.2401,39.2401,0.0,2.8094,52.5235,81.6084
126.0588,1.8799,0.0441,0.0427,3.6411,1.8914,0.0394,3.6116,39.4941,39.4941,0.0,2.8133,52.6974,82.0845
126.2112,1.8691,0.0381,0.0439,3.7302,1.8804,0.0306,3.665,39.0247,39.0247,0.0,2.8131,53.9792,82.246
126.3636,1.8739,0.0427,0.0467,3.7194,1.8835,0.0327,3.5123,39.139,39.139,0.0,2.8133,55.344,79.1637
126.516,1.8693,0.0436,0.0465,3.6295,1.8729,0.0321,3.4572,38.8836,38.8836,0.0,2.8066,55.5365,78.1338
126.6684,1.8632,0.0418,0.0473,3.5354,1.8639,0.0311,3.4158,38.6728,38.6728,0.0,2.7688,55.8166,76.5916
126.8208,1.8689,0.0376,0.0314,3.366,1.8596,0.0243,3.3273,38.2838,38.2838,0.0,2.7597,54.1809,76.9647
126.9732,1.8809,0.0402,0.0587,3.2487,1.8643,0.0186,3.2325,38.1035,38.1035,0.0,2.7336,55.1595,78.2431
127.1256,1.8887,0.0484,0.077,3.2046,1.8799,0.0254,3.2387,38.2,38.155,0.045,2.7933,53.2668,80.8165
127.278,1.8844,0.0549,0.1158,3.2282,1.873,0.0204,3.1962,37.5608,37.4905,0.0703,2.8167,52.3978,79.1431
127.4304,1.8818,0.054,0.1275,3.3115,1.8819,0.0229,3.2266,37.1577,36.8437,0.314,2.9848,52.1836,78.6029
127.5828,1.8846,0.0523,0.1372,3.3568,1.8835,0.0192,3.3247,37.3492,37.0134,0.3357,3.0364,53.5879,75.2106
127.7352,1.8816,0.0439,0.1285,3.3024,1.8984,0.0221,3.1855,36.7033,36.3952,0.3081,3.0302,54.2346,77.6298
127.8876,1.8827,0.0406,0.1349,3.2752,1.8955,0.0155,3.2935,37.1116,36.6032,0.5084,3.1034,54.0715,77.2614
128.04,1.8901,0.0406,0.1369,3.2263,1.9037,0.0178,3.1535,36.2863,36.0036,0.2828,2.9183,53.8521,80.4112
128.1924,1.8915,0.0431,0.1464,3.3085,1.9059,0.0197,3.293,35.8932,35.7289,0.1643,2.8645,54.2805,79.6515
128.3448,1.8858,0.0365,0.149,3.295,1.8946,0.0062,3.34,35.6844,35.5884,0.096,2.8412,53.464,76.9105
128.4972,1.8802,0.0275,0.1533,3.3171,1.8892,-0.0035,3.3996,35.058,34.9764,0.0816,2.8717,53.5197,75.5141
128.6496,1.8848,0.0257,0.1397,3.2742,1.8944,-0.0014,3.3836,35.0484,34.8854,0.163,2.8997,54.2962,76.5489
128.802,1.883,0.0221,0.1245,3.2892,1.8996,-0.0002,3.3786,34.4867,34.3304,0.1563,2.8958,54.4733,80.2634
128.9544,1.8898,0.0243,0.1049,3.3004,1.9083,0.005,3.3551,35.4281,35.0182,0.4099,2.9564,53.7874,80.7628
129.1068,1.8912,0.0213,0.1025,3.2638,1.9032,-0.001,3.2661,34.98,34.7228,0.2572,2.7404,52.3052,80.5177
129.2592,1.9041,0.0271,0.0956,3.2336,1.9112,0.0043,3.2389,34.2218,34.2218,0.0,2.569,53.0997,80.3327
129.4116,1.9046,0.0292,0.0908,3.2042,1.9124,0.0052,3.1895,34.4396,34.405,0.0346,2.5627,52.7892,77.7054
129.564,1.9035,0.0283,0.0891,3.2686,1.9096,0.0037,3.176,34.3757,34.3757,0.0,2.5619,51.1026,76.6204
129.7164,1.9068,0.0285,0.0943,3.3347,1.9082,0.0002,3.2048,34.8182,34.8182,0.0,2.5988,50.1939,75.8502
129.8688,1.904,0.0251,0.1014,3.3199,1.9054,0.0,3.0848,34.981,34.981,0.0,2.6189,50.6554,78.6968
130.0212,1.9046,0.0239,0.0952,3.206,1.9198,0.0107,3.0003,35.2656,35.2656,0.0,2.6728,54.2818,80.0771
130.1736,1.9024,0.0229,0.0901,3.1273,1.9144,0.0066,3.0259,35.7012,35.7012,0.0,2.6776,55.9297,80.7644
130.326,1.9037,0.0237,0.0965,3.1761,1.9093,0.0024,3.1274,36.0538,36.0538,0.0,2.7555,57.4407,78.9627
130.4784,1.9095,0.0292,0.0872,3.2827,1.9143,0.0131,3.3002,36.3237,36.3237,0.0,2.7312,53.248,79.1192
130.6308,1.9119,0.029,0.087,3.229,1.9352,0.0207,3.145,35.6031,35.6031,0.0,2.6906,51.1062,76.9892
130.7832,1.913,0.0276,0.0847,3.2187,1.9379,0.0201,3.1688,35.672,35.672,0.0,2.7596,51.1222,75.3887
130.9356,1.9179,0.0266,0.0844,3.202,1.9375,0.0162,3.1761,34.6222,34.6222,0.0,2.8106,53.026,75.9502
131.088,1.9127,0.0255,0.0682,3.2378,1.9244,0.0206,3.4022,33.9854,33.9854,0.0,2.8411,54.1718,74.417
131.2404,1.9058,0.0302,0.078,3.2316,1.9115,0.0205,3.4007,33.4447,33.4447,0.0,2.8726,53.297,73.5473
131.3928,1.8989,0.0297,0.096,3.1418,1.9131,0.0203,3.3207,33.7569,33.7569,0.0,2.8992,52.4316,71.7209
131.5452,1.907,0.0322,0.1353,3.0583,1.9046,0.0015,3.0102,34.8268,34.8268,0.0,2.9999,52.486,75.4465
131.6976,1.924,0.0326,0.1376,3.0167,1.9257,0.0035,2.9432,35.4702,35.4702,0.0,3.0226,52.1769,80.4278
131.85,1.9017,0.0218,0.1367,3.2006,1.9077,-0.0039,3.0356,36.3365,36.3365,0.0,3.016,53.7858,81.6217
132.0024,1.89,0.0257,0.1055,3.4781,1.8954,0.0054,3.351,36.7793,36.7793,0.0,2.9625,53.9778,78.8294
132.1548,1.8446,0.0091,0.0888,3.6043,1.8601,-0.0056,3.4966,37.311,37.311,0.0,2.9636,55.8003,74.906
132.3072,1.8674,0.0275,0.0571,3.4016,1.868,0.0064,3.3691,38.5439,38.5439,0.0,3.0711,54.695,70.967
132.4596,1.8577,0.0281,0.0399,3.214,1.8644,0.0154,3.1162,40.1954,40.1954,0.0,3.1944,53.3598,73.0344
132.612,1.8893,0.0589,0.0484,3.0906,1.8769,0.0401,3.1149,42.8181,42.8181,0.0,3.2129,51.4947,76.2716
132.7644,1.8662,0.0551,0.0486,3.1925,1.8759,0.0468,3.1251,44.955,44.955,0.0,3.285,53.4774,77.811
132.9168,1.8655,0.0565,0.0518,3.2642,1.8735,0.0467,3.1682,46.9368,46.9368,0.0,3.3058,52.8939,76.3555
133.0692,1.8564,0.0498,0.0516,3.4077,1.8705,0.0419,3.2699,48.5527,48.5527,0.0,3.3331,53.2619,75.7887
133.2216,1.8635,0.0527,0.0553,3.507,1.8733,0.0418,3.4484,49.161,49.161,0.0,3.2939,51.9822,76.2989
133.374,1.8666,0.0517,0.041,3.5178,1.8866,0.0475,3.5975,49.7464,49.7464,0.0,3.3248,52.8665,75.7824
133.5264,1.8694,0.041,0.0382,3.4025,1.8981,0.0416,3.2969,50.2072,50.2072,0.0,3.3998,53.0085,75.5945
133.6788,1.8712,0.0385,0.0652,3.3389,1.8931,0.0297,3.2193,50.7123,50.7123,0.0,3.48,51.4446,75.7755
133.8312,1.873,0.0273,0.1101,3.4244,1.881,0.0097,3.233,51.5941,51.4517,0.1424,3.5782,51.5706,76.2637
133.9836,1.8719,0.0466,0.128,3.6146,1.8796,0.0186,3.5916,51.9601,51.8264,0.1337,3.5889,50.6225,74.6643
134.136,1.8673,0.0448,0.1268,3.622,1.8747,0.0179,3.5581,52.2932,52.0575,0.2357,3.6253,53.1443,72.5051
134.2884,1.8669,0.0453,0.1063,3.6158,1.8901,0.0316,3.5825,52.0949,51.9509,0.144,3.6526,53.8261,74.759
134.4408,1.8663,0.0444,0.0979,3.5674,1.8832,0.0303,3.5538,52.2777,52.2777,0.0,3.5979,56.6538,74.453
134.5932,1.8577,0.0404,0.0781,3.5763,1.8715,0.0305,3.5988,52.7618,52.7618,0.0,3.6366,56.4006,76.4939
134.7456,1.8516,0.0477,0.0918,3.6064,1.8529,0.0308,3.5878,52.3403,52.3403,0.0,3.6276,56.2782,74.9801
134.898,1.831,0.0494,0.081,3.6162,1.8378,0.0318,3.628,51.7788,51.7788,0.0,3.6355,53.3508,77.4244
135.0504,1.8387,0.0624,0.0722,3.6279,1.8483,0.0491,3.428,51.9974,51.9974,0.0,3.63,50.6749,76.4587
135.2028,1.8276,0.0542,0.0771,3.5247,1.8283,0.0311,3.4184,51.6635,51.6635,0.0,3.6439,52.0704,77.1348
135.3552,1.8313,0.0505,0.0882,3.4903,1.8369,0.0293,3.5846,51.2596,51.2596,0.0,3.6268,53.8922,74.9322
135.5076,1.8116,0.0341,0.1168,3.5187,1.8157,0.0049,3.5999,50.2562,50.2562,0.0,3.5848,56.0655,74.7304
135.66,1.8025,0.0293,0.1101,3.5234,1.8167,0.0051,3.5829,48.8086,48.8086,0.0,3.5509,54.4317,72.7931
